name,suburb,rating,review_count,price_level,cuisine,website,seifa_score,region,population,weekend_status,target_audience,price_score
Fontana,Redfern,4.7,254,unknown,,http://www.clubfontana.com/,1085,Inner South,13072,Weekdays only,General locals,
Olympus Dining,Redfern,4.4,1197,unknown,,https://olympusdining.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp,1085,Inner South,13072,Weekend friendly,General locals,
Mjølner,Redfern,4.6,2978,$$,bar,http://www.mjolner.com.au/sydney,1085,Inner South,13072,Weekend friendly,Tourist friendly,2
Henry Lee's Redfern,Redfern,4.3,1776,$$,"bar, cafe",https://henrylees.au/,1085,Inner South,13072,Weekend friendly,General locals,2
RaRa,Redfern,4.2,2268,$$,bar,https://www.rararamen.com.au/,1085,Inner South,13072,Weekend friendly,Tourist friendly,2
"Calico - Cafe, Restaurant, Pizzeria & Bar",Redfern,4.7,516,unknown,bar,http://calicoredfern.com.au/,1085,Inner South,13072,Weekend friendly,General locals,
R by Raita Noda.,Redfern,5.0,42,unknown,,http://rbyraitanoda.com.au/,1085,Inner South,13072,Weekdays only,General locals,
BART Jr.,Redfern,4.5,643,$$,bar,http://www.bartjr.com.au/,1085,Inner South,13072,Weekdays only,General locals,2
SIG- CAF REDFERN,Redfern,4.5,27,unknown,cafe,,1085,Inner South,13072,Weekend friendly,General locals,
Attenzione! Food & Wine,Redfern,4.6,298,unknown,bar,https://www.attenzionefoodandwine.com/,1085,Inner South,13072,Weekend friendly,General locals,
BUSH,Redfern,4.5,472,unknown,,https://www.bush-group.com/,1085,Inner South,13072,Weekdays only,General locals,
Delizie Di Casa,Redfern,4.6,59,unknown,"cafe, store",,1085,Inner South,13072,Weekend friendly,General locals,
Mountain Culture Brewery - Redfern,Redfern,4.4,149,unknown,"bar, liquor_store, store",https://mountainculture.com.au/pages/redfern-bar?utm_source=organic&utm_medium=gbp_listing&utm_content=redfern,1085,Inner South,13072,Weekend friendly,General locals,
"Wild Flour, Sydney",Redfern,4.5,480,$$,"cafe, meal_takeaway, store",http://www.wildflourredfern.com/,1085,Inner South,13072,Weekend friendly,General locals,2
Island Radio,Redfern,4.2,327,unknown,"bar, cafe",https://www.islandradio.sydney/,1085,Inner South,13072,Weekend friendly,General locals,
Doran Doran,Redfern,4.9,124,unknown,"cafe, store",https://www.dorandoran.com.au/,1085,Inner South,13072,Weekdays only,General locals,
Japanese Restaurant,Redfern,5.0,5,unknown,,,1085,Inner South,13072,Weekend friendly,General locals,
Ora Restaurant,Redfern,4.7,590,unknown,,http://orasydney.com.au/,1085,Inner South,13072,Weekdays only,General locals,
Erko Pantry,Erskineville,4.7,111,unknown,cafe,https://www.erkopantry.com.au/,1185,Inner West,9657,Weekend friendly,General locals,
Rose of Australia,Erskineville,4.3,1713,$$,bar,https://www.roseofaustralia.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
Fullmoon Thai Erskineville,Erskineville,4.6,576,unknown,,https://fullmoonthai.mobi-order.com/,1185,Inner West,9657,Weekend friendly,General locals,
Blackbird & Co,Erskineville,4.3,530,$$,"cafe, store",https://www.blackbird-co.com.au/,1185,Inner West,9657,Weekend friendly,General locals,2
